Customer_ID,Churn_Probability,Dataset_x,Predicted_Revenue,Dataset_y,Cluster,Cluster_Name
14738,4.3449778e-05,Train,1926.475,Train,2,High-Value Growth Customers
14738,4.3449778e-05,Train,1926.475,Train,2,High-Value Growth Customers
14738,4.3449778e-05,Train,1926.475,Test,2,High-Value Growth Customers
14738,4.3449778e-05,Train,1926.475,Test,2,High-Value Growth Customers
14554,0.00023698453,Train,13712.09,Train,1,High-Revenue Enterprise Customers
13237,0.00045998197,Train,222.54,Train,0,Mid-Tier Active Customers
11773,6.4438704e-05,Train,7322.035,Train,1,High-Revenue Enterprise Customers
13793,6.624706e-05,Train,16340.015,Train,2,High-Value Growth Customers
11339,0.00044249423,Train,2954.715,Train,1,High-Revenue Enterprise Customers
12932,0.99855906,Train,3068.535,Train,2,High-Value Growth Customers
13700,0.00010045915,Train,3157.85,Train,1,High-Revenue Enterprise Customers
10769,8.304184e-05,Train,14774.56,Train,2,High-Value Growth Customers
11289,0.00052696205,Train,4246.905,Train,3,At-Risk Low Engagement Customers
10053,7.489385e-05,Train,10221.985,Train,1,High-Revenue Enterprise Customers
10317,0.003519269,Train,2201.435,Train,3,At-Risk Low Engagement Customers
13482,0.99606496,Train,44.635,Train,0,Mid-Tier Active Customers
13482,0.99606496,Train,44.635,Train,0,Mid-Tier Active Customers
13482,0.99606496,Train,44.635,Train,0,Mid-Tier Active Customers
13482,0.99606496,Train,44.635,Train,0,Mid-Tier Active Customers
10529,9.6715514e-05,Train,1612.6,Train,0,Mid-Tier Active Customers
13717,0.00011731279,Train,1323.86,Train,0,Mid-Tier Active Customers
14024,0.9983993,Train,1484.61,Train,1,High-Revenue Enterprise Customers
12266,9.717034e-05,Train,26907.25,Train,2,High-Value Growth Customers
14466,0.00033881082,Train,11.88,Train,2,High-Value Growth Customers
14760,0.00038955075,Train,0.665,Test,0,Mid-Tier Active Customers
14133,0.00024724443,Train,2022.3,Train,3,At-Risk Low Engagement Customers
10985,0.0003379949,Train,3259.205,Train,2,High-Value Growth Customers
12299,0.00035898926,Train,226.08,Train,2,High-Value Growth Customers
14020,0.00020240966,Train,7029.86,Train,1,High-Revenue Enterprise Customers
10469,4.720749e-05,Train,2013.2,Train,2,High-Value Growth Customers
11983,0.00029090318,Train,7316.725,Test,1,High-Revenue Enterprise Customers
11655,0.00018280323,Train,489.715,Train,0,Mid-Tier Active Customers
13860,2.7324486e-05,Train,2008.77,Train,2,High-Value Growth Customers
10808,7.512281e-05,Train,19000.29,Train,2,High-Value Growth Customers
12049,0.99938667,Train,264.445,Train,2,High-Value Growth Customers
10626,0.0004895089,Train,1005.935,Train,3,At-Risk Low Engagement Customers
13375,0.0035836725,Train,234.435,Train,3,At-Risk Low Engagement Customers
12073,0.00026623486,Train,25439.4,Train,2,High-Value Growth Customers
14321,4.8970247e-05,Train,13.77,Test,0,Mid-Tier Active Customers
12900,0.99976355,Train,179.015,Train,3,At-Risk Low Engagement Customers
13304,0.0002937165,Train,8043.935,Train,1,High-Revenue Enterprise Customers
11270,0.99608046,Train,264.605,Train,3,At-Risk Low Engagement Customers
14647,8.5833926e-05,Train,710.045,Train,0,Mid-Tier Active Customers
14422,0.0005266525,Train,22844.88,Train,2,High-Value Growth Customers
13166,0.00010262825,Train,1358.02,Train,0,Mid-Tier Active Customers
13833,0.99946564,Train,287.185,Test,3,At-Risk Low Engagement Customers
12496,0.0007737292,Train,16.46,Train,3,At-Risk Low Engagement Customers
10968,0.0001439901,Train,30176.425,Test,2,High-Value Growth Customers
11140,0.0001303357,Train,10021.78,Test,1,High-Revenue Enterprise Customers
11704,8.309713e-05,Train,10597.12,Train,1,High-Revenue Enterprise Customers
12194,0.00016471781,Train,27890.605,Train,2,High-Value Growth Customers
11599,0.00010675249,Train,7981.55,Train,1,High-Revenue Enterprise Customers
14107,2.2622116e-05,Train,1492.735,Train,0,Mid-Tier Active Customers
