Customer_ID,Cluster,Cluster_Name
11177,3,At-Risk Low Engagement Customers
14771,1,High-Revenue Enterprise Customers
11091,2,High-Value Growth Customers
14818,3,At-Risk Low Engagement Customers
14376,2,High-Value Growth Customers
10280,0,Mid-Tier Active Customers
10997,0,Mid-Tier Active Customers
10585,0,Mid-Tier Active Customers
11486,2,High-Value Growth Customers
13927,3,At-Risk Low Engagement Customers
12772,1,High-Revenue Enterprise Customers
13652,2,High-Value Growth Customers
14417,3,At-Risk Low Engagement Customers
14011,2,High-Value Growth Customers
13945,2,High-Value Growth Customers
11613,0,Mid-Tier Active Customers
13195,0,Mid-Tier Active Customers
10473,2,High-Value Growth Customers
14732,1,High-Revenue Enterprise Customers
11581,1,High-Revenue Enterprise Customers
10970,2,High-Value Growth Customers
12225,0,Mid-Tier Active Customers
13882,0,Mid-Tier Active Customers
14392,0,Mid-Tier Active Customers
10752,3,At-Risk Low Engagement Customers
14412,2,High-Value Growth Customers
10735,2,High-Value Growth Customers
10764,2,High-Value Growth Customers
13936,2,High-Value Growth Customers
14948,0,Mid-Tier Active Customers
11127,3,At-Risk Low Engagement Customers
13581,0,Mid-Tier Active Customers
13981,2,High-Value Growth Customers
14587,3,At-Risk Low Engagement Customers
13287,1,High-Revenue Enterprise Customers
10945,3,At-Risk Low Engagement Customers
14199,2,High-Value Growth Customers
12407,1,High-Revenue Enterprise Customers
12719,2,High-Value Growth Customers
14350,1,High-Revenue Enterprise Customers
10347,0,Mid-Tier Active Customers
11421,1,High-Revenue Enterprise Customers
10472,3,At-Risk Low Engagement Customers
11262,3,At-Risk Low Engagement Customers
13810,0,Mid-Tier Active Customers
13883,0,Mid-Tier Active Customers
12347,1,High-Revenue Enterprise Customers
12003,0,Mid-Tier Active Customers
14344,2,High-Value Growth Customers
14010,1,High-Revenue Enterprise Customers
14897,2,High-Value Growth Customers
11050,2,High-Value Growth Customers
10747,3,At-Risk Low Engagement Customers
10747,3,At-Risk Low Engagement Customers
10487,3,At-Risk Low Engagement Customers
14551,2,High-Value Growth Customers
14580,2,High-Value Growth Customers
10849,2,High-Value Growth Customers
13046,0,Mid-Tier Active Customers
14168,3,At-Risk Low Engagement Customers
11021,0,Mid-Tier Active Customers
14889,3,At-Risk Low Engagement Customers
12226,2,High-Value Growth Customers
10531,1,High-Revenue Enterprise Customers
10066,1,High-Revenue Enterprise Customers
14854,2,High-Value Growth Customers
12427,2,High-Value Growth Customers
10411,0,Mid-Tier Active Customers
14747,3,At-Risk Low Engagement Customers
10682,2,High-Value Growth Customers
12032,3,At-Risk Low Engagement Customers
